"","tpa","qmd.3in","qmd.4in","qmd.5in","qmd.6in","qmd.7in","qmd.8in","qmd.9in","qmd.10in","qmd.11in","qmd.12in","qmd.13in","qmd.14in","qmd.15in","qmd.16in","qmd.17in","qmd.18in"
"1",50,2.454568661,4.36367762,6.818246282,9.818274646,13.36376271,17.45471048,22.09111795,27.27298513,33.000312,39.27309858,46.09134486,53.45505085,61.36421653,69.81884192,78.81892702,88.36447181
"2",75,3.681852992,6.54551643,10.22736942,14.72741197,20.04564407,26.18206572,33.13667693,40.90947769,49.500468,58.90964787,69.1370173,80.18257627,92.0463248,104.7282629,118.2283905,132.5467077
"3",100,4.909137323,8.72735524,13.63649256,19.63654929,26.72752542,34.90942096,44.1822359,54.54597025,66.00062401,78.54619716,92.18268973,106.9101017,122.7284331,139.6376838,157.637854,176.7289436
"4",125,6.136421653,10.90919405,17.0456157,24.54568661,33.40940678,43.6367762,55.22779488,68.18246282,82.50078001,98.18274646,115.2283622,133.6376271,153.4105413,174.5471048,197.0473175,220.9111795
"5",150,7.363705984,13.09103286,20.45473884,29.45482394,40.09128814,52.36413144,66.27335386,81.81895538,99.00093601,117.8192957,138.2740346,160.3651525,184.0926496,209.4565258,236.456781,265.0934154
"6",175,8.590990315,15.27287167,23.86386199,34.36396126,46.77316949,61.09148668,77.31891283,95.45544794,115.501092,137.455845,161.319707,187.092678,214.7747579,244.3659467,275.8662446,309.2756513
"7",200,9.818274646,17.45471048,27.27298513,39.27309858,53.45505085,69.81884192,88.36447181,109.0919405,132.001248,157.0923943,184.3653795,213.8202034,245.4568661,279.2753677,315.2757081,353.4578872
"8",210.83,10.34993422,18.39988305,28.74981727,41.39973687,56.34964185,73.59953221,93.14940796,114.9992691,139.1491156,165.5989475,194.3487648,225.3985674,258.7483554,294.3981289,332.3478877,372.5976318
"9",225,11.04555898,19.63654929,30.68210827,44.1822359,60.1369322,78.54619716,99.41003079,122.7284331,148.501404,176.7289436,207.4110519,240.5477288,276.1389744,314.1847887,354.6851716,NA
"10",231.08641,11.3443492,20.16773191,31.51208111,45.3773968,61.76367897,80.67092764,102.0991428,126.0483244,152.5184726,181.5095872,213.0216683,247.0547159,283.60873,322.6837106,364.2796576,NA
"11",250,12.27284331,21.8183881,34.09123141,49.09137323,66.81881356,87.2735524,110.4555898,136.3649256,165.00156,196.3654929,230.4567243,267.2752542,306.8210827,349.0942096,NA,NA
"12",254.7019983,12.50367086,22.2287482,34.73241906,50.01468344,68.07554135,88.91499279,112.5330377,138.9296762,168.1049082,200.0587338,234.7911528,272.3021654,312.5917715,355.6599711,NA,NA
"13",275,13.50012764,24.00022691,37.50035455,54.00051055,73.50069492,96.00090764,121.5011487,150.0014182,181.501716,216.0020422,253.5023967,294.0027797,337.5031909,NA,NA,NA
"14",282.500001,13.86831299,24.65477864,38.52309163,55.47325194,75.50525959,98.61911456,124.8148169,154.0923665,186.4517635,221.8930078,260.4160994,302.0210384,346.7078246,NA,NA,NA
"15",300,14.72741197,26.18206572,40.90947769,58.90964787,80.18257627,104.7282629,132.5467077,163.6379108,198.001872,235.6385915,276.5480692,320.7303051,NA,NA,NA,NA
"16",315.5799676,15.49225397,27.54178484,43.03403881,61.96901588,84.34671607,110.1671394,139.4302857,172.1361552,208.2847478,247.8760635,290.9101023,337.3868643,NA,NA,NA,NA
"17",325,15.9546963,28.36390453,44.31860083,63.8187852,86.86445763,113.4556181,143.5922667,177.2744033,214.502028,255.2751408,299.5937416,NA,NA,NA,NA,NA
"18",350,17.18198063,30.54574334,47.72772397,68.72792252,93.54633898,122.1829734,154.6378257,190.9108959,231.002184,274.9116901,322.639414,NA,NA,NA,NA,NA
"19",355.4396266,17.44901937,31.02047888,48.46949825,69.79607748,95.00021657,124.0819155,157.0411743,193.877993,234.5923715,279.1843099,327.6538082,NA,NA,NA,NA,NA
"20",375,18.40926496,32.72758215,51.13684711,73.63705984,100.2282203,130.9103286,165.6833846,204.5473884,247.50234,294.5482394,NA,NA,NA,NA,NA,NA
"21",400,19.63654929,34.90942096,54.54597025,78.54619716,106.9101017,139.6376838,176.7289436,218.183881,264.002496,314.1847887,NA,NA,NA,NA,NA,NA
"22",404.1653005,19.84102961,35.27294153,55.11397115,79.36411845,108.0233834,141.0917661,178.5692665,220.4558846,266.7516204,317.4564738,NA,NA,NA,NA,NA,NA
"23",425,20.86383362,37.09125977,57.95509339,83.45533449,113.5919831,148.3650391,187.7745026,231.8203736,280.502652,NA,NA,NA,NA,NA,NA,NA
"24",450,22.09111795,39.27309858,61.36421653,88.36447181,120.2738644,157.0923943,198.8200616,245.4568661,297.002808,NA,NA,NA,NA,NA,NA,NA
"25",464.7395839,22.81470437,40.55947443,63.37417879,91.25881746,124.2133904,162.2378977,205.3323393,253.4967152,306.7310254,NA,NA,NA,NA,NA,NA,NA
"26",475,23.31840228,41.45493739,64.77333968,93.27360913,126.9557458,165.8197496,209.8656205,259.0933587,NA,NA,NA,NA,NA,NA,NA,NA
"27",500,24.54568661,43.6367762,68.18246282,98.18274646,133.6376271,174.5471048,220.9111795,272.7298513,NA,NA,NA,NA,NA,NA,NA,NA
"28",525,25.77297094,45.81861501,71.59158596,103.0918838,140.3195085,183.27446,231.9567385,286.3663438,NA,NA,NA,NA,NA,NA,NA,NA
"29",541.5579361,26.58582277,47.26368492,73.84950768,106.3432911,144.7450351,189.0547397,239.2724049,295.3980307,NA,NA,NA,NA,NA,NA,NA,NA
"30",550,27.00025528,48.00045382,75.0007091,108.0010211,147.0013898,192.0018153,243.0022975,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",575,28.22753961,50.18229263,78.40983224,112.9101584,153.6832712,200.7291705,254.0478565,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",600,29.45482394,52.36413144,81.81895538,117.8192957,160.3651525,209.4565258,265.0934154,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",625,30.68210827,54.54597025,85.22807852,122.7284331,167.0470339,218.183881,276.1389744,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",641.3361152,31.4840706,55.97168106,87.45575166,125.9362824,171.4132733,223.8867243,283.3566354,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",650,31.9093926,56.72780906,88.63720166,127.6375704,173.7289153,226.9112363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",675,33.13667693,58.90964787,92.0463248,132.5467077,180.4107966,235.6385915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
