District,DistrictABV,Matrix,SDImax,RD,QMD,TPA,BAPA,CordsPerAcre,VBAR,Acres
Ashland East,AE,CH2B-N,352.75,0.4375,6.567104516,366.2280217,102.0468895,23.51934308,0.230475845,49.42329994
Ashland East,AE,CH3A-N,406,0.685,7.933386354,424.6459337,146.3780197,29.79769543,0.203566734,141.412627
Ashland East,AE,CH3B-N,405,0.41875,9.838869786,238.9738353,106.8380921,27.35056827,0.256000156,238.1193345
Ashland East,AE,CH3C-N,361,0.403333333,9.149570975,132.429674,57.67757578,11.77737418,0.204193294,653.046665
Ashland East,AE,CH3D-N,326.1764706,0.304705882,8.197239737,197.0201259,57.75129662,11.95271254,0.20696873,1598.379041
Ashland East,AE,CH4A-N,407,0.548,11.07979246,333.2088363,181.2353681,39.92997277,0.220321084,95.73915723
Ashland East,AE,CH4B-N,402.1666667,0.66,9.358836841,325.5226071,169.162324,39.14658509,0.231414325,557.2785573
Ashland East,AE,CH4C-N,364.0588235,0.432941176,9.086291002,223.8254304,102.3278641,23.05062294,0.225262426,369.4227161
Ashland East,AE,CH4D-N,349.75,0.455,11.00253253,292.9152067,107.1478957,24.09281639,0.224855712,240.3684832
Ashland East,AE,CS1C-N,333.9230769,0.296666667,9.474919277,191.1089163,82.05126608,16.18624531,0.197269903,115.6609989
Ashland East,AE,CS2B-N,334.4,0.43,8.753855898,440.5404223,122.9776525,22.47644731,0.182768551,314.8952353
Ashland East,AE,CS3A-N,390.625,0.448571429,10.26175794,318.3982323,134.0779246,27.54528693,0.205442373,2330.909663
Ashland East,AE,CS3B-N,408.4444444,0.377222222,10.35914492,239.9812105,113.3103426,24.39078639,0.215256488,2048.470357
Ashland East,AE,CS3C-N,352.4666667,0.484814815,10.20630511,142.8938786,48.25295224,8.956639286,0.185618472,4036.410169
Ashland East,AE,CS3D-N,347.1111111,0.377692308,8.541949091,191.3752902,69.14422065,11.84909419,0.171367818,6663.490454
Ashland East,AE,CS4A-N,370.92,0.6352,10.35086338,440.317713,217.9913391,55.95378943,0.256678956,1831.077848
Ashland East,AE,CS4B-N,404.3255814,0.632790698,10.47811695,362.7208603,188.4762604,42.35788946,0.224738592,6080.400325
Ashland East,AE,CS4C-N,387.0625,0.398235294,9.440496623,231.1633061,101.7997649,21.6169279,0.212347523,1176.854133
Ashland East,AE,CS4D-N,371.36,0.588,8.918844105,341.4915844,101.1638029,19.91953235,0.196903752,1865.523008
Ashland East,AE,H1A-N,305.4545455,0.603333333,6.022256006,340.831576,63.54893571,8.276457061,0.13023754,90.08245704
Ashland East,AE,H1B-N,282.8571429,0.186666667,5.700000127,29.45111046,6.134580493,1.157613575,0.188702973,1584.125428
Ashland East,AE,H1C-N,332.2857143,0.438,6.8710581,234.6810085,56.65467007,8.941326291,0.157821523,1243.92621
Ashland East,AE,H1D-N,243,0.02,25.44999981,1.888271602,7.227284868,2.764651776,0.382529792,846.2597266
Ashland East,AE,H2A-N,335.6538462,0.49,7.433195416,337.1092531,73.809597,12.29076865,0.166519926,2435.309868
Ashland East,AE,H2B-N,354.1111111,0.286521739,9.524989573,204.8741531,52.05902271,10.32263584,0.198287161,2761.879679
Ashland East,AE,H2C-N,296.125,0.302,10.5875785,175.8187027,50.5941002,11.20048436,0.221379258,5280.167714
Ashland East,AE,H2D-N,273.4285714,0.18875,7.574573159,105.1378693,22.62051154,3.678929441,0.162636881,141.0757163
Ashland East,AE,H3A-N,354.1290323,0.4,9.083978047,252.2884957,96.59363751,23.6959434,0.245315779,3911.153084
Ashland East,AE,H3B-N,337.4074074,0.390784314,9.332375295,200.9780413,69.88882202,16.89924794,0.241801871,6296.095896
