District,DistrictABV,Matrix,SDImax,RD,QMD,TPA,BAPA,CordsPerAcre,VBAR,Acres
Ashland East,AE,CH2B-N,352.75,0.4375,6.567104516,545.3120798,117.6744808,23.51934308,0.19986783,49.42329994
Ashland East,AE,CH3A-N,406,0.685,7.933386354,592.9046088,161.0609447,29.79769543,0.185008821,141.412627
Ashland East,AE,CH3B-N,405,0.41875,9.838869786,441.3703998,124.5000259,27.35056827,0.219683234,238.1193345
Ashland East,AE,CH3C-N,361,0.403333333,9.149570975,235.2463606,66.64977112,11.77737418,0.176705396,653.046665
Ashland East,AE,CH3D-N,326.1764706,0.304705882,8.197239737,381.3293883,73.83486009,11.95271254,0.161884407,1598.379041
Ashland East,AE,CH4A-N,407,0.548,11.07979246,333.2088363,181.2353681,39.92997277,0.220321084,95.73915723
Ashland East,AE,CH4B-N,402.1666667,0.66,9.358836841,389.6697621,174.7600613,39.14658509,0.224001896,557.2785573
Ashland East,AE,CH4C-N,364.0588235,0.432941176,9.086291002,291.597323,108.2419106,23.05062294,0.212954694,369.4227161
Ashland East,AE,CH4D-N,349.75,0.455,11.00253253,434.5172287,119.5046545,24.09281639,0.201605674,240.3684832
Ashland East,AE,CS1C-N,333.9230769,0.296666667,9.474919277,395.2277245,99.86348976,16.18624531,0.162083714,115.6609989
Ashland East,AE,CS2B-N,334.4,0.43,8.753855898,633.6788713,139.8316861,22.47644731,0.1607393,314.8952353
Ashland East,AE,CS3A-N,390.625,0.448571429,10.26175794,435.793153,144.322275,27.54528693,0.190859567,2330.909663
Ashland East,AE,CS3B-N,408.4444444,0.377222222,10.35914492,323.0204905,120.5566823,24.39078639,0.202317996,2048.470357
Ashland East,AE,CS3C-N,352.4666667,0.484814815,10.20630511,553.261449,84.0632679,8.956639286,0.106546409,4036.410169
Ashland East,AE,CS3D-N,347.1111111,0.377692308,8.541949091,262.6256021,75.36180787,11.84909419,0.157229431,6663.490454
Ashland East,AE,CS4A-N,370.92,0.6352,10.35086338,440.317713,217.9913391,55.95378943,0.256678956,1831.077848
Ashland East,AE,CS4B-N,404.3255814,0.632790698,10.47811695,489.0281264,199.4983377,42.44864762,0.212776949,6080.400325
Ashland East,AE,CS4C-N,387.0625,0.398235294,9.440496623,351.7666662,112.3240965,21.6169279,0.192451385,1176.854133
Ashland East,AE,CS4D-N,371.36,0.588,8.918844105,509.8811291,115.8581481,19.91953235,0.171930353,1865.523008
Ashland East,AE,H1A-N,305.4545455,0.603333333,6.022256006,457.847966,73.76025397,8.276457061,0.112207546,90.08245704
Ashland East,AE,H1B-N,282.8571429,0.186666667,5.700000127,71.11777713,9.770580493,1.157613575,0.118479509,1584.125428
Ashland East,AE,H1C-N,332.2857143,0.438,6.8710581,281.9720057,60.78147165,8.941326291,0.147106117,1243.92621
Ashland East,AE,H1D-N,243,0.02,25.44999981,1.888271602,7.227284868,2.764651776,0.382529792,846.2597266
Ashland East,AE,H2A-N,335.6538462,0.49,7.433195416,580.7368691,95.06951728,12.53767076,0.131878978,2435.309868
Ashland East,AE,H2B-N,354.1111111,0.286521739,9.524989573,368.1615877,66.30813741,10.52599621,0.158743657,2761.879679
Ashland East,AE,H2C-N,296.125,0.302,10.5875785,277.6289706,59.47847141,11.20048436,0.188311571,5280.167714
Ashland East,AE,H2D-N,273.4285714,0.18875,7.574573159,133.6812054,25.11131722,3.678929441,0.146504837,141.0757163
Ashland East,AE,H3A-N,354.1290323,0.4,9.083978047,294.053591,100.2382268,23.6959434,0.236396275,3911.153084
Ashland East,AE,H3B-N,337.4074074,0.390784314,9.332375295,354.7932275,83.31135043,16.89924794,0.202844485,6296.095896
Ashland East,AE,H3C-N,328.1507937,0.378125,9.551211497,267.0458039,65.58225919,12.33997456,0.188160254,19463.32859
Ashland East,AE,H3D-N,328.3818182,0.383,8.856624099,294.6333771,66.959892,12.95553551,0.193482025,17206.33331
Ashland East,AE,H4A-N,364.06,0.4376,11.09878576,231.7650568,102.4769158,28.10415443,0.274248636,4902.320517
